time,open,high,low,close,tick_volume,spread,real_volume
2026-05-05 15:00:00,1.16889,1.16977,1.16843,1.16923,5447,0,0
2026-05-05 16:00:00,1.16923,1.17046,1.1691799999999999,1.16974,5746,0,0
2026-05-05 17:00:00,1.16975,1.17058,1.16912,1.17056,8081,0,0
2026-05-05 18:00:00,1.17056,1.17135,1.17003,1.17064,5304,0,0
2026-05-05 19:00:00,1.17064,1.17088,1.16972,1.16993,3364,0,0
2026-05-05 20:00:00,1.16993,1.17041,1.16954,1.16987,3341,0,0
2026-05-05 21:00:00,1.16987,1.17008,1.16961,1.16995,2076,1,0
2026-05-05 22:00:00,1.16999,1.17011,1.16932,1.16953,2010,1,0
2026-05-05 23:00:00,1.16952,1.16967,1.1692,1.16924,1216,3,0
2026-05-06 00:00:00,1.16914,1.16939,1.16876,1.16929,294,3,0
2026-05-06 01:00:00,1.16929,1.17094,1.16914,1.17051,1726,0,0
2026-05-06 02:00:00,1.17051,1.17253,1.17046,1.17146,3551,0,0
2026-05-06 03:00:00,1.17146,1.17214,1.17103,1.17201,3756,0,0
2026-05-06 04:00:00,1.17199,1.17259,1.17169,1.17212,3199,1,0
2026-05-06 05:00:00,1.17212,1.17248,1.17148,1.17173,2474,1,0
2026-05-06 06:00:00,1.17173,1.1723,1.17158,1.17169,2148,0,0
2026-05-06 07:00:00,1.17169,1.17428,1.17153,1.1736900000000001,6374,0,0
2026-05-06 08:00:00,1.1736900000000001,1.17381,1.17299,1.17328,3493,0,0
2026-05-06 09:00:00,1.1733,1.17356,1.1727400000000001,1.17333,3686,0,0
2026-05-06 10:00:00,1.17333,1.17382,1.17237,1.17377,4789,0,0
2026-05-06 11:00:00,1.17377,1.17705,1.17322,1.1762299999999999,7043,0,0
2026-05-06 12:00:00,1.1762299999999999,1.1777,1.17555,1.17738,6381,0,0
2026-05-06 13:00:00,1.17747,1.17966,1.17657,1.17889,6873,0,0
2026-05-06 14:00:00,1.17889,1.17917,1.17675,1.17699,7486,0,0
2026-05-06 15:00:00,1.17699,1.177,1.17517,1.17535,8195,0,0
2026-05-06 16:00:00,1.17535,1.17591,1.17459,1.17516,7611,0,0
2026-05-06 17:00:00,1.17516,1.17628,1.17444,1.1755,7847,0,0
2026-05-06 18:00:00,1.1755,1.17584,1.17481,1.17527,4784,0,0
2026-05-06 19:00:00,1.17527,1.17534,1.17412,1.17443,4249,0,0
2026-05-06 20:00:00,1.17443,1.17555,1.17423,1.17481,3134,0,0
2026-05-06 21:00:00,1.17481,1.17515,1.17442,1.17493,2817,0,0
2026-05-06 22:00:00,1.17493,1.17555,1.17466,1.17476,2694,0,0
2026-05-06 23:00:00,1.17475,1.17504,1.17447,1.17479,1301,3,0
2026-05-07 00:00:00,1.17459,1.17507,1.17428,1.17496,532,3,0
2026-05-07 01:00:00,1.17496,1.17512,1.17488,1.17504,841,3,0
2026-05-07 02:00:00,1.17504,1.17519,1.17459,1.17478,814,2,0
2026-05-07 03:00:00,1.17478,1.1754,1.17459,1.17485,3458,0,0
2026-05-07 04:00:00,1.17485,1.17633,1.17462,1.1758899999999999,3245,0,0
2026-05-07 05:00:00,1.17588,1.17609,1.17544,1.17561,1836,0,0
2026-05-07 06:00:00,1.17561,1.17566,1.17478,1.17488,1989,1,0
2026-05-07 07:00:00,1.17485,1.17535,1.1747,1.17509,1737,1,0
2026-05-07 08:00:00,1.17509,1.17537,1.17488,1.1751800000000001,2214,1,0
2026-05-07 09:00:00,1.17517,1.17568,1.17443,1.1748,4575,0,0
2026-05-07 10:00:00,1.1748,1.17686,1.17479,1.17669,6827,0,0
2026-05-07 11:00:00,1.17669,1.17741,1.17629,1.17717,4491,0,0
2026-05-07 12:00:00,1.17717,1.17783,1.17655,1.17702,4542,0,0
2026-05-07 13:00:00,1.1770100000000001,1.1776,1.17645,1.1767,4161,0,0
2026-05-07 14:00:00,1.1767,1.17702,1.17619,1.1769,4133,0,0
2026-05-07 15:00:00,1.17691,1.17779,1.17669,1.17728,5107,0,0
2026-05-07 16:00:00,1.17728,1.1777,1.1766,1.1768399999999999,6406,0,0
2026-05-07 17:00:00,1.1768399999999999,1.1777199999999999,1.17631,1.17757,6522,0,0
2026-05-07 18:00:00,1.17757,1.17779,1.1762299999999999,1.17636,6095,0,0
2026-05-07 19:00:00,1.17636,1.17659,1.17559,1.17603,5532,0,0
2026-05-07 20:00:00,1.17603,1.17608,1.17353,1.17488,6990,0,0
2026-05-07 21:00:00,1.17487,1.1752,1.17399,1.175,5591,0,0
2026-05-07 22:00:00,1.175,1.17542,1.17323,1.1733500000000001,5779,0,0
2026-05-07 23:00:00,1.1733500000000001,1.17447,1.17226,1.17228,3351,0,0
2026-05-08 00:00:00,1.17245,1.17297,1.1723,1.17268,691,3,0
2026-05-08 01:00:00,1.17267,1.17315,1.1723,1.1724999999999999,1775,0,0
2026-05-08 02:00:00,1.1724999999999999,1.17314,1.17239,1.17304,919,1,0
2026-05-08 03:00:00,1.17305,1.17347,1.17261,1.17269,2927,0,0
2026-05-08 04:00:00,1.17269,1.17336,1.17269,1.17323,2526,0,0
2026-05-08 05:00:00,1.17324,1.17325,1.17238,1.17268,2609,1,0
2026-05-08 06:00:00,1.1727,1.17337,1.17265,1.17283,1878,0,0
2026-05-08 07:00:00,1.17283,1.17358,1.17264,1.17352,2113,0,0
2026-05-08 08:00:00,1.17352,1.17387,1.1732,1.17371,2277,1,0
2026-05-08 09:00:00,1.17371,1.17482,1.17366,1.17443,4206,0,0
2026-05-08 10:00:00,1.17443,1.17479,1.17412,1.17429,3903,0,0
2026-05-08 11:00:00,1.17429,1.17656,1.17412,1.17637,4381,0,0
2026-05-08 12:00:00,1.17638,1.17734,1.17629,1.1769,3648,0,0
2026-05-08 13:00:00,1.1769,1.17724,1.17611,1.17632,3395,0,0
2026-05-08 14:00:00,1.17632,1.17688,1.17611,1.17652,3163,0,0
2026-05-08 15:00:00,1.17652,1.17787,1.17574,1.17741,6783,0,0
2026-05-08 16:00:00,1.17738,1.1787,1.17654,1.1779,7598,0,0
2026-05-08 17:00:00,1.17789,1.17797,1.17661,1.17743,6222,0,0
2026-05-08 18:00:00,1.17743,1.17784,1.17663,1.17728,5387,0,0
2026-05-08 19:00:00,1.17726,1.17785,1.17702,1.1771099999999999,2927,0,0
2026-05-08 20:00:00,1.1771099999999999,1.1776200000000001,1.17697,1.17712,2160,0,0
2026-05-08 21:00:00,1.17718,1.17815,1.17702,1.17784,3251,0,0
2026-05-08 22:00:00,1.17785,1.17831,1.17764,1.17801,2655,0,0
2026-05-08 23:00:00,1.178,1.17877,1.17776,1.17824,1737,0,0
2026-05-11 00:00:00,1.17461,1.17689,1.17393,1.17634,1263,2,0
2026-05-11 01:00:00,1.17635,1.17648,1.17577,1.17638,1789,0,0
2026-05-11 02:00:00,1.17638,1.17699,1.17632,1.1767,1310,0,0
2026-05-11 03:00:00,1.1767,1.17719,1.17655,1.17698,2412,1,0
2026-05-11 04:00:00,1.17698,1.1771099999999999,1.17607,1.17628,2546,1,0
2026-05-11 05:00:00,1.17628,1.17662,1.17588,1.17592,1850,0,0
2026-05-11 06:00:00,1.17591,1.17592,1.17551,1.17565,1413,1,0
2026-05-11 07:00:00,1.17565,1.17572,1.17498,1.17504,1118,0,0
2026-05-11 08:00:00,1.17504,1.17546,1.17475,1.175,1768,0,0
2026-05-11 09:00:00,1.175,1.17681,1.175,1.17675,3389,0,0
2026-05-11 10:00:00,1.17675,1.17746,1.17642,1.1772,3717,0,0
2026-05-11 11:00:00,1.1772,1.17821,1.1770100000000001,1.17713,3445,0,0
2026-05-11 12:00:00,1.17714,1.17744,1.17662,1.17673,2769,1,0
2026-05-11 13:00:00,1.17672,1.1774,1.1764000000000001,1.1769,2910,0,0
2026-05-11 14:00:00,1.1769,1.17746,1.1763,1.17683,3179,0,0
2026-05-11 15:00:00,1.17683,1.1774499999999999,1.17638,1.1774,4120,0,0
2026-05-11 16:00:00,1.1774,1.17876,1.1774,1.17853,5751,0,0
2026-05-11 17:00:00,1.17853,1.17878,1.17778,1.17794,5193,0,0
2026-05-11 18:00:00,1.17794,1.17853,1.17763,1.17799,4879,0,0
2026-05-11 19:00:00,1.17799,1.17803,1.1772,1.17732,3514,0,0
2026-05-11 20:00:00,1.17732,1.17786,1.17703,1.17779,2653,0,0
2026-05-11 21:00:00,1.17779,1.17804,1.17738,1.17749,2243,0,0
2026-05-11 22:00:00,1.17749,1.17778,1.17731,1.17774,2306,0,0
2026-05-11 23:00:00,1.17773,1.17829,1.17738,1.17816,1439,1,0
2026-05-12 00:00:00,1.1778,1.17845,1.1771,1.17845,689,3,0
2026-05-12 01:00:00,1.17845,1.17875,1.17842,1.17851,825,0,0
2026-05-12 02:00:00,1.17851,1.17852,1.17763,1.17783,842,0,0
2026-05-12 03:00:00,1.17784,1.17784,1.17652,1.17669,2067,0,0
2026-05-12 04:00:00,1.1767,1.17689,1.17572,1.17614,3509,0,0
2026-05-12 05:00:00,1.17614,1.17645,1.1758899999999999,1.17624,1822,1,0
2026-05-12 06:00:00,1.17624,1.1763,1.17537,1.17555,1528,0,0
2026-05-12 07:00:00,1.17555,1.17597,1.17548,1.1757,1563,0,0
2026-05-12 08:00:00,1.17571,1.1768,1.17516,1.1762299999999999,2726,0,0
2026-05-12 09:00:00,1.17624,1.17658,1.17488,1.17503,4101,0,0
2026-05-12 10:00:00,1.17502,1.17533,1.17429,1.17478,4854,0,0
2026-05-12 11:00:00,1.17478,1.17504,1.17386,1.17446,4336,0,0
2026-05-12 12:00:00,1.17445,1.17516,1.17429,1.17475,3815,0,0
2026-05-12 13:00:00,1.17474,1.1749,1.17401,1.1740599999999999,2955,0,0
2026-05-12 14:00:00,1.1740599999999999,1.17482,1.17342,1.17437,4287,0,0
2026-05-12 15:00:00,1.17437,1.17498,1.17358,1.17477,6117,0,0
2026-05-12 16:00:00,1.17477,1.17499,1.17261,1.17299,6398,0,0
2026-05-12 17:00:00,1.17303,1.17361,1.17269,1.17359,6521,0,0
2026-05-12 18:00:00,1.17359,1.17365,1.1721,1.17325,5607,0,0
2026-05-12 19:00:00,1.17325,1.17386,1.17264,1.17283,4059,0,0
2026-05-12 20:00:00,1.17283,1.17336,1.17262,1.17332,2994,0,0
2026-05-12 21:00:00,1.17332,1.1741,1.1728399999999999,1.17404,2676,0,0
2026-05-12 22:00:00,1.17404,1.17468,1.17393,1.17401,2531,0,0
2026-05-12 23:00:00,1.174,1.17407,1.17373,1.17397,1081,3,0
2026-05-13 00:00:00,1.17366,1.17402,1.1733,1.17366,764,3,0
2026-05-13 01:00:00,1.17366,1.17399,1.17364,1.1739,626,3,0
2026-05-13 02:00:00,1.1739,1.17411,1.17338,1.17349,749,0,0
2026-05-13 03:00:00,1.1735,1.17385,1.17318,1.1738,2329,0,0
2026-05-13 04:00:00,1.1738,1.17417,1.17306,1.17387,2301,0,0
2026-05-13 05:00:00,1.17387,1.17417,1.17358,1.1737,1342,1,0
2026-05-13 06:00:00,1.1737,1.17378,1.17316,1.17344,1690,1,0
2026-05-13 07:00:00,1.17344,1.17351,1.17313,1.17344,1300,1,0
2026-05-13 08:00:00,1.17344,1.1736900000000001,1.17319,1.1734,1521,0,0
2026-05-13 09:00:00,1.17339,1.17342,1.17174,1.17198,2934,0,0
2026-05-13 10:00:00,1.17198,1.17232,1.17063,1.1707,3485,0,0
2026-05-13 11:00:00,1.1707,1.17116,1.17001,1.1703000000000001,3593,0,0
2026-05-13 12:00:00,1.1703000000000001,1.1706699999999999,1.16948,1.1706,3888,0,0
2026-05-13 13:00:00,1.17061,1.17144,1.17018,1.17126,3986,0,0
2026-05-13 14:00:00,1.17126,1.17172,1.17106,1.17121,3001,0,0
2026-05-13 15:00:00,1.17121,1.17161,1.16971,1.17017,5091,0,0
2026-05-13 16:00:00,1.17017,1.17122,1.17,1.1710099999999999,5325,0,0
2026-05-13 17:00:00,1.1710099999999999,1.1712500000000001,1.17021,1.17076,4746,0,0
2026-05-13 18:00:00,1.17076,1.1716199999999999,1.1707,1.17109,4322,1,0
2026-05-13 19:00:00,1.17109,1.17179,1.1707,1.17085,3406,0,0
2026-05-13 20:00:00,1.17085,1.17107,1.17035,1.17042,2053,1,0
2026-05-13 21:00:00,1.17042,1.17105,1.17028,1.17073,2613,0,0
2026-05-13 22:00:00,1.17077,1.1713,1.1706699999999999,1.17096,2213,1,0
2026-05-13 23:00:00,1.17095,1.1714,1.1708,1.17139,1290,0,0
2026-05-14 00:00:00,1.1709,1.17167,1.17032,1.17146,667,3,0
2026-05-14 01:00:00,1.17146,1.17185,1.17141,1.17172,944,0,0
2026-05-14 02:00:00,1.17172,1.17181,1.17144,1.17157,676,3,0
2026-05-14 03:00:00,1.17158,1.17184,1.17136,1.1717,2073,1,0
2026-05-14 04:00:00,1.1717,1.17176,1.17119,1.17137,1904,2,0
2026-05-14 05:00:00,1.17137,1.17153,1.17112,1.17117,1546,2,0
2026-05-14 06:00:00,1.17117,1.17151,1.1709,1.17122,1589,2,0
2026-05-14 07:00:00,1.17122,1.17172,1.17109,1.17144,1685,1,0
2026-05-14 08:00:00,1.17144,1.1716,1.171,1.17102,2094,2,0
2026-05-14 09:00:00,1.1710099999999999,1.17214,1.17065,1.17182,3407,0,0
2026-05-14 10:00:00,1.17182,1.17184,1.17053,1.17075,3542,0,0
2026-05-14 11:00:00,1.17074,1.17138,1.17042,1.17109,2969,0,0
